SNo,Name,Crop Height,Crop Duration ,Grain color ,Grain size
1,ARUBATHAM KURUVAI,4f,115,Red,Long
2,Pungaar,4f,100,Red,Long
3,Karuthakkar,,,,
4,Raatha Sallai Kerala,5f,130,White,Medium
5,Jasmine Basumati,,,,
6,Senkruvai,,,,
7,Chinnar Voilet Color,,,,
8,Kalar Pallai,,,,
9,Soorakuruvai / Sura Kuruvai,5f,140,Red,Long
10,Chithirai Kar,,,,
11,Karun Kuruvai,4f,115,Red,Long
12,Karnell,4f,110,White,Long
13,Kaadai Kalluthan,4f,125,Red,Long
14,Pooyamalli,4f,125-130,White,Medium
15,Savithri ,4f,130,White,Long
16,Senkar ,4f,125,Red,Medium
17,Basanai Seraga Samba,4f,120,White ,Short
18,Atturkithidi,,,,
19,Thirunel Veli kithidi,4 f,130,White,medium
20,Soorna Myuri,4f,125,White,Short
21,Cinnar ,3.5f,125,White,Long
22,Seeranga Samba,4f,125,White,Short
23,Cinna Kichidi,4f,125,White,Medium
24,Ottukichidi,4f,115,White,Medium
25,Rosapoo Samba,5f,140,White,Short
26,Eillupai Poo Samba,5f,130,White,Short
27,Aathur kichilli Samba,4.5f,120,Long,
28,Pullithikar ,,,,
29,Bommi,4f,140-145,White,Short
30,Sandi Kar,4f,135,Red,Bog
31,Kuliya Dicham,4f,110,Red,Long
32,Thengapoo Samba,4f,140,White,Long
33,Kamban Samba,4f,125,White,Short
34,Thanga Samga,4f,130,White,Short
35,Sempuli Samba,4.5f,140,White,Long
36,Polinel,4f,140,White,Round medium
37,Thikar,4f,115,Red,Long
38,Vadan Samba,4f,140,Red,Long
39,Keerai Samba,5f,140,Red,Long
40,Kottadian,4f,140,Red,Long
41,Thullunaada,4f,115,Red,Long
42,Sivan Samba,4f,125,White,Short
43,Salem Sanna,4f,125,White,Medium
44,Kochim Samba,,,,
45,Thooya Malli,4f,120,White,Long
46,Neela Samba,4f,135,White,BIG
47,Adukku nail,4.5f,140,Red,Long
48,Savalu Samba,4f,110,Red,Long
49,Sirumani Samba,,,,
50,Kichili ,4.5f,140,White,Long
51,Sorna Masuri,3.5f,130,White,Short
52,Daddabi Ranallu,4f,120,Red,Long
53,Seeraga Samba,4f,125,White,Short
54,Shivapoo Kavuni,,,,
55,Maranell,,,,
56,Barma Karupu Kauni,5f,140,Black,medium
57,Nellai Kudai Valzhi,,140,Red,Long
58,Kattu Ponni,4f,130,Red,Long
59,Elappampoo Samba,5f,130,White,Medium
60,Pokkiri Samba,4f,115,Red,Short
61,Karudan Samba,,,,
62,Milagu Samba,4.5f,140,White,Round small
63,Milagi,4.5f,140,White,Medium
64,Muprilum Sannam,4.5f,125,White,Medium
65,Sampuli Samba,5f,140,White,Long
66,Kalli Mudiyar Baiyam,,,,
67,Kattu Yannam,4f,125,White,Long
68,Madumulungi,,,,
69,Sigapu Kavuni,,,,
70,Chittumuthyalu,4f,125,White,Short
71,Chakao Ponni Black,,,,
72,Makrai ,3.5f,115-120,White,Long
73,Seetha Bhog,,,,
74,3Ashok Kumar Khune,,,,
75,Kochokki,4f,125,White,Short
76,Kempu Sanna,4.5f,125,Red,Medium
77,Ghani,2.5 f,130,Red,Long
78,Ghandha Saale,4.5f,130,White,Short
79,Chinthalooru Sanna,4.5f,125,White,Short
80,Raktha Saali,,,,
81,Rani Gandha,5f,140,Brown,Medium
82,Indhrani,,,,
83,Saati Vadlu,4.5f,130,White,Short
84,Ramjeera,,,,
85,Dhudheshwar,5f,140,White,Short
86,Navara,4.5f,120,Red,Long
87,Kalajeera,5f,130,White,Short
88,Thulasi baso,,,,
89,Parimala Sanna,5f,140,White,Short
90,Khalabhat,5f,145,Black,Long
91,Kalabatti,5-5.5 f,150,Black,Long
92,Khujipatalia,4f,125,White,Short
93,RathnaChaudi,4.5f,135,White,Short
94,Kullakar,5f,100,Red,Long
95,Mappillai Samba,5.5f,180,Red,Long
96,Krishna Vrihi,4f,120,Black,Long
97,Vishnu Bhog,4f,125,White,Short
98,Karpu kauvi,5f,130,Black,Long
99,Rajmudi,,,,
100,Mysuru malliga,4-4.5,135,White,Short
101,Sidhasannalu,5f,135,White,Short
102,Bhahurupi,,,,
133,Delhi Basumati ,4f,125,White,Long
134,Chandramukhi Basumati,4f,125,White,Long
135,Ambemohar,4f,125,White,round small
136,Tulsiya,4f,125,White,Long
137,Krishna Kamod,4f,120,White,Medium
138,Sukvel,4f,120,White,Long
139,Suchit,4f,125,White,Long
140,Bhujwad,4f,125,White,Round small
141,Prabhavati,,,,
142,Lal Bavde,,,,
143,Chah pure,,,,
144,Bangalo,4.5f,130,White,Long
145,Desi Basmati,,,,
146,vishnu bhog,3.5-4f,125,White,Short
147,Kajal Hare,4f,125,Red,Long
148,Kalmudiya,,,,
149,Satisgandh Black rice,,,,
150,"Gujarat - 4 , Red rice",,,,
151,Lalbhat,,,,
152,Chirli,4f,130,Black,Long
153,Kabru dulo,,,,
154,Torna,4f,125,Red,Long
155,Manipuri / Chekova Black,5f,125,Black,Long
156,Kerala black rice,,,,
157,Chirli red,,,,
158,Colim,,,,
159,Desi colom,4f,125,White,Short
160,Sejiya,4f,125,White,Medium
161,Kolpi,4f,125,White,Short
162,Gouriya,4f,125,White,Long
163,Pejiya,4f,140,White,Long
164,Kalabhat red rice,,,,